name,sku,stock,value,status
Traditional Habesha Kemis,TRD-001,18,32400.00,OK
Netela (Handwoven Shawl),TRD-002,30,21000.00,OK
Gabi (Traditional Blanket),TRD-003,12,21600.00,OK
Jebena Coffee Pot,TRD-004,9,12600.00,Low Stock
Rekebot Coffee Tray,TRD-005,15,24000.00,OK
Sini Coffee Cups Set,TRD-006,20,17000.00,OK
Mukecha (Wooden Mortar),TRD-007,6,9000.00,Low Stock
Mesob Basket,TRD-008,14,35000.00,OK
Shekla Clay Plate,TRD-009,25,12500.00,OK
Kebero Drum,TRD-010,5,20000.00,Low Stock
Krar (Traditional Lyre),TRD-011,4,20800.00,Low Stock
Masenqo,TRD-012,3,12600.00,Low Stock
Traditional Coffee Roaster,TRD-013,10,8000.00,OK
Incense Burner (Etan Holder),TRD-014,8,8000.00,Low Stock
Cross Pendant (Ethiopian Design),TRD-015,22,33000.00,OK
Handwoven Scarf,TRD-016,17,18700.00,OK
Leather Sandals,TRD-017,13,20800.00,OK
Traditional Clay Pot,TRD-018,7,9800.00,Low Stock
Traditional Wooden Spoon Set,TRD-019,28,13440.00,OK
Ethiopian Spice Basket,TRD-020,0,0.00,Out of Stock
